subject,section,traial,leftButton,rightButton,answer,leftTouched,rightTouched
5,11,117,1.875,1,5,2,2
5,11,118,1.875,1.75,4,2,2
5,11,119,1.875,1.125,5,2,3
5,11,120,1.875,1.25,5,2,2
5,11,121,1.875,1.5,5,2,2
6,1,1,1.375,1.75,3,5,3
6,1,2,1.375,1.625,4,4,4
6,1,3,1.375,1.25,6,3,5
6,1,4,1.375,2,1,2,1
6,1,5,1.375,1,7,1,3
6,1,6,1.375,1.875,2,3,2
6,1,7,1.375,1.5,4,6,4
6,1,8,1.375,2.25,2,3,2
6,1,9,1.375,1.125,7,1,4
6,1,10,1.375,1.375,5,3,3
6,1,11,1.375,2.125,2,8,5
6,2,12,1.625,1.25,6,5,6
6,2,13,1.625,1.875,4,2,2
6,2,14,1.625,2.125,2,2,1
6,2,15,1.625,1,6,1,4
6,2,16,1.625,1.375,5,1,2
6,2,17,1.625,1.75,4,3,3
6,2,18,1.625,2,4,5,5
6,2,19,1.625,1.5,6,3,2
6,2,20,1.625,1.125,6,3,3
6,2,21,1.625,2.25,2,10,10
6,2,22,1.625,1.625,4,2,2
6,3,23,1,2.125,2,10,2
6,3,24,1,1.375,3,1,3
6,3,25,1,1.25,3,3,4
6,3,26,1,2.25,2,3,8
6,3,27,1,1.875,3,1,4
6,3,28,1,1.5,2,2,2
6,3,29,1,2,3,2,3
6,3,30,1,1,4,1,2
6,3,31,1,1.125,4,4,4
6,3,32,1,1.625,2,1,2
6,3,33,1,1.75,3,4,5
6,4,34,1.5,2.125,4,7,4
6,4,35,1.5,1.625,4,4,4
6,4,36,1.5,1.375,5,19,14
6,4,37,1.5,2,3,4,3
6,4,38,1.5,1,6,2,2
6,4,39,1.5,1.25,6,3,6
6,4,40,1.5,2.25,2,4,5
6,4,41,1.5,1.875,3,8,5
6,4,42,1.5,1.75,2,11,7
6,4,43,1.5,1.5,4,4,3
6,4,44,1.5,1.125,6,2,2
6,5,45,2,1,6,4,4
6,5,46,2,1.5,5,2,3
6,5,47,2,2,4,4,2
6,5,48,2,1.625,5,12,10
6,5,49,2,1.375,6,3,2
6,5,50,2,1.75,5,6,5
6,5,51,2,1.125,6,2,3
6,5,52,2,1.875,4,17,14
6,5,53,2,2.125,4,1,3
6,5,54,2,1.25,6,2,4
6,5,55,2,2.25,4,9,12
6,6,56,1.75,1,6,8,6
6,6,57,1.75,2.125,4,4,5
6,6,58,1.75,2,4,3,4
6,6,59,1.75,1.625,5,6,7
6,6,60,1.75,1.875,4,3,3
6,6,61,1.75,1.25,6,4,4
6,6,62,1.75,2.25,3,4,4
6,6,63,1.75,1.125,6,8,10
6,6,64,1.75,1.5,6,1,2
6,6,65,1.75,1.375,6,3,6
6,6,66,1.75,1.75,4,5,4
6,7,67,2.25,1.5,5,5,2
6,7,68,2.25,2.125,4,2,2
6,7,69,2.25,1.125,7,3,4
6,7,70,2.25,1.75,5,1,2
